,station_name,coord
0,Бульвар Рокоссовского,55.814916 37.732227
1,Черкизовская,55.802787 37.744863
2,Преображенская площадь,55.796322 37.713582
3,Сокольники,55.789282 37.679895
4,Красносельская,55.780014 37.666097
5,Комсомольская,55.774072 37.654565
6,Красные ворота,55.768307 37.6478
7,Чистые пруды,55.76499 37.638293
8,Лубянка,55.759889 37.625336
9,Охотный ряд,55.757228 37.615078
10,Библиотека им.Ленина,55.752123 37.610388
11,Кропоткинская,55.745297 37.604217
12,Парк культуры,55.736163 37.595027
13,Фрунзенская,55.727462 37.58022
14,Спортивная,55.722388 37.562041
15,Воробьевы горы,55.709169 37.557293
16,Университет,55.69329 37.534511
17,Проспект Вернадского,55.676549 37.504584
18,Юго-Западная,55.663146 37.482852
19,Тропарево,55.6459 37.4725
20,Румянцево,55.633 37.4419
21,Саларьево,55.6227 37.424
22,Речной вокзал,55.854152 37.476728
23,Водный стадион,55.838978 37.487515
24,Войковская,55.818923 37.497791
25,Сокол,55.805564 37.515245
26,Аэропорт,55.800441 37.530477
27,Динамо,55.789704 37.558212
28,Белорусская,55.777439 37.582107
29,Маяковская,55.769808 37.596192
30,Тверская,55.765343 37.603918
31,Театральная,55.758808 37.61768
32,Новокузнецкая,55.742391 37.62928
33,Павелецкая,55.729741 37.638693
34,Автозаводская,55.706634 37.657008
35,Технопарк,55.695 37.664167
36,Коломенская,55.677423 37.663719
37,Каширская,55.655745 37.649683
38,Кантемировская,55.636107 37.656218
39,Царицыно,55.620982 37.669612
40,Орехово,55.61269 37.695214
41,Домодедовская,55.610131 37.717111
42,Красногвардейская,55.614075 37.742697
43,Алма-Атинская,55.63349 37.765678
44,Щелковская,55.809962 37.798261
45,Первомайская,55.794376 37.799364
46,Измайловская,55.787713 37.779896
47,Партизанская,55.788401 37.74882
48,Семеновская,55.783096 37.719289
49,Электрозаводская,55.782057 37.7053
50,Бауманская,55.772405 37.67904
51,Площадь Революции,55.756741 37.62236
52,Курская,55.758564 37.659039
53,Арбатская,55.752312 37.60349
54,Смоленская,55.747713 37.583802
55,Киевская,55.743117 37.564132
56,Парк Победы,55.735679 37.516865
57,Славянский бульвар,55.729542 37.470973
58,Кунцевская,55.730634 37.445123
59,Молодежная,55.741375 37.415627
60,Крылатское,55.756842 37.408139
61,Строгино,55.803831 37.402405
62,Мякинино,55.823342 37.385214
63,Волоколамская,55.835154 37.382453
64,Митино,55.846098 37.36122
65,Пятницкое шоссе,55.853634 37.353108
66,Кунцевская,55.730815 37.446754
67,Пионерская,55.736027 37.466728
68,Филевский парк,55.739665 37.483902
69,Багратионовская,55.743544 37.497042
70,Фили,55.746763 37.514035
71,Кутузовская,55.740544 37.5341
72,Студенческая,55.738761 37.54842
73,Киевская,55.743168 37.565425
74,Смоленская,55.749083 37.582173
75,Арбатская,55.752122 37.601553
76,Александровский сад,55.752255 37.608775
77,Выставочная,55.750243 37.542641
78,Международная,55.748324 37.533282
79,Новослободская,55.779606 37.601252
80,Проспект Мира,55.779584 37.633646
81,Комсомольская,55.775672 37.654772
82,Курская,55.758631 37.661059
83,Таганская,55.742396 37.653334
84,Павелецкая,55.731414 37.636294
85,Добрынинская,55.728994 37.622533
86,Октябрьская,55.729264 37.611049
87,Парк культуры,55.735221 37.593095
88,Киевская,55.74361 37.56735
89,Краснопресненская,55.760378 37.577114
90,Белорусская,55.775179 37.582303
91,Медведково,55.888103 37.661562
92,Бабушкинская,55.870641 37.664341
93,Свиблово,55.855558 37.653379
94,Ботанический сад,55.844597 37.637811
95,ВДНХ,55.819626 37.640751
96,Алексеевская,55.807794 37.638699
97,Рижская,55.792494 37.636114
98,Проспект Мира,55.781827 37.633199
99,Сухаревская,55.772315 37.63285
100,Тургеневская,55.765371 37.636732
101,Китай-город,55.756498 37.631326
102,Третьяковская,55.74073 37.625624
103,Октябрьская,55.731232 37.612851
104,Шаболовская,55.718828 37.607892
105,Ленинский проспект,55.70678 37.58499
106,Академическая,55.687147 37.5723
107,Профсоюзная,55.677671 37.562595
108,Новые Черемушки,55.670077 37.554493
109,Калужская,55.656682 37.540075
110,Беляево,55.642357 37.526115
111,Коньково,55.631857 37.519156
112,Теплый Стан,55.61873 37.505912
113,Ясенево,55.606182 37.5334
114,Новоясеневская,55.601947 37.553017
115,Планерная,55.859676 37.436808
116,Сходненская,55.84926 37.44076
117,Тушинская,55.825479 37.437024
118,Спартак,55.8182 37.4352
119,Щукинская,55.8094 37.463241
120,Октябрьское поле,55.793581 37.493317
121,Полежаевская,55.777201 37.517895
122,Беговая,55.773505 37.545518
123,Улица 1905 года,55.763944 37.562271
124,Баррикадная,55.760793 37.581242
125,Пушкинская,55.765607 37.604356
126,Кузнецкий мост,55.761498 37.624423
127,Китай-город,55.75436 37.633877
128,Таганская,55.739502 37.653605
129,Пролетарская,55.731546 37.666917
130,Волгоградский проспект,55.725546 37.685197
131,Текстильщики,55.709211 37.732117
132,Кузьминки,55.705493 37.763295
133,Рязанский проспект,55.716139 37.792694
134,Выхино,55.715983 37.816788
135,Лермонтовский проспект,55.702036 37.851044
136,Жулебино,55.684722 37.855833
137,Котельники,55.6743 37.8582
138,Новокосино,55.745113 37.864052
139,Новогиреево,55.752237 37.814587
140,Перово,55.75098 37.78422
141,Шоссе энтузиастов,55.75809 37.751703
142,Авиамоторная,55.751933 37.717444
143,Площадь Ильича,55.747115 37.680726
144,Марксистская,55.740746 37.65604
145,Третьяковская,55.741125 37.626142
146,Деловой центр,55.7491 37.5395
147,Парк Победы,55.736478 37.514401
148,Алтуфьево,55.899034 37.586473
149,Бибирево,55.883868 37.603011
150,Отрадное,55.864273 37.605066
151,Владыкино,55.848236 37.590451
152,Петровско-Разумовская,55.836565 37.575512
153,Тимирязевская,55.81866 37.574498
154,Дмитровская,55.808056 37.581734
155,Савеловская,55.794054 37.587163
156,Менделеевская,55.781999 37.599141
157,Цветной бульвар,55.771653 37.620466
158,Чеховская,55.765747 37.608493
159,Боровицкая,55.750399 37.60934
160,Полянка,55.736795 37.618594
161,Серпуховская,55.726548 37.624792
162,Тульская,55.70961 37.622569
163,Нагатинская,55.682099 37.620917
164,Нагорная,55.672962 37.610397
165,Нахимовский проспект,55.662379 37.605274
166,Севастопольская,55.651451 37.59809
167,Чертановская,55.640538 37.606065
168,Южная,55.622436 37.609047
169,Пражская,55.610962 37.602386
170,Улица Академика Янгеля,55.596753 37.601498
171,Аннино,55.583477 37.596999
172,Бульвар Дмитрия Донского,55.568201 37.576856
173,Петровско-Разумовская,55.836667 37.575556
174,Фонвизинская,55.822778 37.588056
175,Бутырская,55.813333 37.602778
176,Марьина Роща,55.793723 37.61618
177,Достоевская,55.781667 37.613889
178,Трубная,55.76771 37.621926
179,Сретенский бульвар,55.766106 37.635688
180,Чкаловская,55.755951 37.659293
181,Римская,55.747027 37.679996
182,Крестьянская застава,55.732278 37.665325
183,Дубровка,55.71807 37.676259
184,Кожуховская,55.706156 37.68544
185,Печатники,55.692921 37.728338
186,Волжская,55.690446 37.754314
187,Люблино,55.676596 37.761639
188,Братиславская,55.658817 37.748415
189,Марьино,55.649158 37.743844
190,Борисово,55.6325 37.743333
191,Шипиловская,55.621667 37.743611
192,Зябликово,55.611944 37.745278
193,Каширская,55.654327 37.647705
194,Варшавская,55.653294 37.619522
195,Каховская,55.652923 37.596573
196,Бунинская аллея,55.537977 37.515899
197,Улица Горчакова,55.542281 37.532063
198,Бульвар Адмирала Ушакова,55.545207 37.542329
199,Улица Скобелевская,55.548103 37.552721
200,Улица Старокачаловская,55.569194 37.576074
201,Лесопарковая,55.581656 37.577816
202,Битцевский Парк,55.600066 37.556058
203,Тимирязевская,55.819049 37.578882
204,Улица Милашенкова,55.821876 37.591206
205,Телецентр,55.821795 37.608975
206,Улица Академика Королёва,55.821821 37.627167
207,Выставочный центр,55.824086 37.638494
208,Улица Сергея Эйзенштейна,55.829305 37.644997
209,Окружная,55.848889 37.571111
210,Владыкино,55.847222 37.591944
211,Ботанический сад,55.845556 37.640278
212,Ростокино,55.839444 37.667778
213,Белокаменная,55.83 37.700556
214,Бульвар Рокоссовского,55.817222 37.736944
215,Локомотив,55.803219 37.745742
216,Измайлово,55.788611 37.742778
217,Соколиная Гора,55.77 37.745278
218,Шоссе Энтузиастов,55.758633 37.748477
219,Андроновка,55.741111 37.734444
220,Нижегородская,55.732222 37.72825
221,Новохохловская,55.723889 37.716111
222,Угрешская,55.718333 37.697778
223,Дубровка,55.71268 37.677775
224,Автозаводская,55.70631 37.66314
225,ЗИЛ,55.698333 37.648333
226,Верхние Котлы,55.69 37.618889
227,Крымская,55.690038 37.605
228,Площадь Гагарина,55.706944 37.585833
229,Лужники,55.720278 37.563056
230,Кутузовская,55.740833 37.533333
231,Деловой центр,55.747222 37.532222
232,Шелепиха,55.7575 37.525556
233,Хорошево,55.777222 37.507222
234,Зорге,55.787778 37.504444
235,Панфиловская,55.799167 37.498889
236,Стрешнево,55.813611 37.486944
237,Балтийская,55.825833 37.496111
238,Коптево,55.839637 37.520037
239,Лихоборы,55.847222 37.551389
